
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787709490830 ;PR ;ALMIRANTE TAMANDARE ;TANGUA ;RUA JOSE KLEINA, N. 501, Apto 161, TIPO I, BL 41 ;190.000,00;183.400,00;0.00;Apartamento, 38.44 de área total, 37.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709490830
 8787708324880 ;PR ;ALMIRANTE TAMANDARE ;JARDIM CAMPO VERDE ;RUA MANOEL BARBOSA, N. 207, Apto 5122, BL 51 ;180.000,00;166.000,00;0.00;Apartamento, 43.37 de área total, 41.54 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708324880
 8444408814110 ;PR ;ALTONIA ;LOT JARDIM CAMPO BEL ;RUA MARECHAL ARTHUR COSTA E SILVA, N. 381, . ;87.451,62;160.000,00;45.35;Casa, 0.00 de área total, 130.00 de área privativa, 354.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408814110
 8555524672965 ;PR ;ALVORADA DO SUL ;ALVORADA DO SUL ; RUA LUIZ SIENA, N. 27, LT 07 QD 11 ;125.000,00;125.000,00;0.00;Casa, 47.73 de área total, 35.88 de área privativa, 204.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555524672965
 8444420180185 ;PR ;AMAPORA ;JARDIM CAFEZAL ; ARLINDO RODRIGUES DE SOUZA, N. 23, LT 25-30 QD 10 ;160.000,00;160.000,00;0.00;Casa, 51.28 de área total, 51.28 de área privativa, 315.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420180185
 1444406719252 ;PR ;ANDIRA ;SAO GABRIEL ;RUA A, N. SN, QD 01 LT 11 ;82.187,26;144.400,00;43.09;Terreno, 0.00 de área total, 0.00 de área privativa, 449.32 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406719252
 8787711041869 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ;RUA DEP ANTONIO DOS SANTOS MACIEL FILHO, N. SN, LT 08 QD 40 ;70.022,92;137.000,00;48.89;Casa, 0.00 de área total, 42.37 de área privativa, 180.20 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711041869
 8787712046643 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ;RUA MAESTRO IVONEI FRANCO DOS SANTOS, N. SN, LT 11 QD 38 ;73.908,38;143.000,00;48.32;Casa, 0.00 de área total, 42.37 de área privativa, 180.20 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712046643
 8787712638397 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ; RUA DR. JOSÉ MIRA SABÓIA, N. SN, LT 29, QD 40 ;71.945,72;138.000,00;47.87;Casa, 0.00 de área total, 42.37 de área privativa, 180.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712638397
 8787702826654 ;PR ;APUCARANA ;RESIDENCIAL MEGA PARK ;RUA B, N. 205, ;68.359,60;130.000,00;47.42;Casa, 45.74 de área total, 45.74 de área privativa, 220.44 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702826654
