
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555515149220 ;BA ;BARREIRAS ;SERRA DO MIMO ;RUA EURIPEDES RODRIGUES DE MORAES, N. 264, LT 17 - QD 25 ;178.448,00;280.000,00;36.27;Casa, 76.86 de área total, 76.86 de área privativa, 180.00 de área do terreno,  1 qto(s), a.serv, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555515149220
 1555520316961 ;BA ;BARREIRAS ;BARREIRAS I ;RUA PROFESSORA LINDINALVA DOURADO, N. 113, LT 05A QD 24 ;123.031,28;108.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555520316961
 8555529473367 ;BA ;BARREIRAS ;SOMBRA DA TARDE ;RUA DOS GIRASSOIS, N. 551, CS POPULAR N.27 ;318.301,35;212.000,00;0.00;Casa, 71.86 de área total, 71.86 de área privativa, 71.68 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555529473367
 1444419186398 ;BA ;BOA VISTA DO TUPIM ;LOTEAMENTO N ;RUA C, N. 13, LT 13 QD F ;303.998,92;477.000,00;36.27;Casa, 0.00 de área total, 238.55 de área privativa, 838.78 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419186398
 8444407619721 ;BA ;BOA VISTA DO TUPIM ;JARDIM EUROPA ; AVENIDA JUCELINO, N. SN, LT 06 QD A ;58.486,65;52.000,00;0.00;Casa, 41.70 de área total, 41.70 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407619721
 8444415517460 ;BA ;BOM JESUS DA LAPA ;SHANGRI-LA ;RUA PARANA, N. 156, LT 28A QD EH ;120.233,49;225.000,00;46.57;Casa, 0.00 de área total, 80.00 de área privativa, 216.90 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415517460
 8444407031392 ;BA ;BOM JESUS DA LAPA ;BAIRRO LAGOA GRANDE ; RUA JOAQUIM DOS PASSOS MARTINS, N. 917, QD 23, LT 22 ;108.444,81;183.000,00;40.75;Casa, 86.80 de área total, 86.80 de área privativa, 180.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407031392
 1444407517793 ;BA ;BOM JESUS DA LAPA ;JUREMA ;LOTEAMENTO JUREMA, N. SN, QUADRA IV ;70.592,66;118.000,00;40.18;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407517793
 8444418343544 ;BA ;BOM JESUS DA LAPA ;Lot Lagoa Grande ;RUA ALAGOAS, N. 246, LT05A QD25 ;114.838,57;190.000,00;39.56;Casa, 91.20 de área total, 91.20 de área privativa, 150.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418343544
 8444433173220 ;BA ;BOM JESUS DA LAPA ;LOTEAMENTO MARIANA ;RUA LAS VEGAS, N. 58, LT 20A QD 24 ;183.691,35;300.000,00;38.77;Casa, 86.35 de área total, 86.35 de área privativa, 164.37 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433173220
