
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444401212042 ;AL ;JUNQUEIRO ;Alto do Cruzeiro ; RUA JOÃO FRANCISCO DO NASCIMENTO, N. 274, QD M LT 20 ;68.787,97;120.000,00;42.68;Casa, 96.00 de área total, 96.00 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401212042
 8444400285860 ;AL ;JUNQUEIRO ;GILBERTO PEREIRA ;RUA IRINEU DOS SANTOS, N. 54,  QD A LT 04 ;71.654,14;125.000,00;42.68;Casa, 94.72 de área total, 94.72 de área privativa, 182.72 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400285860
 10201540 ;AL ;MACEIO ;FAROL ;AVENIDA DOUTOR MANOEL MOREIRA E SILVA, N. 653 ;1.214.482,00;2.210.000,00;45.05;Casa, 0.00 de área total, 827.77 de área privativa, 647.52 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10201540
 10203395 ;AL ;MACEIO ;FAROL ;RUA PROFESSOR AURINO MACIEL, N. 119, SL 104 ;94.318,32;168.022,06;43.87;Sala, 0.00 de área total, 34.80 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10203395
 8787705311353 ;AL ;MACEIO ;SANTA AMELIA ;AVENIDA JORGE MONTENEGRO BARROS, N. 1218, Apto 105, BL 03 VG 106 ;90.746,77;155.000,00;41.46;Apartamento, 53.48 de área total, 41.59 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705311353
 8555533276686 ;AL ;MACEIO ;BENEDITO BENTES ; RUA PROJETADA C, N. 105, Apto 304, BL 05 ;94.815,14;160.000,00;40.75;Apartamento, 60.61 de área total, 42.42 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555533276686
 8555538810125 ;AL ;MACEIO ;BENEDITO BENTES ;RUA JOAO PAULO, N. 451, Apto 304, BL16 ;94.815,14;160.000,00;40.75;Apartamento, 131.67 de área total, 42.42 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538810125
 8787705868366 ;AL ;MACEIO ;BENEDITO BENTES ; RUA PROJETADA O, N. 86, Apto 002, BL 04 ;94.815,14;160.000,00;40.75;Apartamento, 62.75 de área total, 42.42 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705868366
 8555537421931 ;AL ;MACEIO ;ANTARES ;AVENIDA DOUTOR NEVES PINTO, N. 454, Apto 409, BL02 PA 4º VG 87 ;104.121,83;175.705,00;40.75;Apartamento, 89.59 de área total, 42.46 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555537421931
 8787701928119 ;AL ;MACEIO ;TABULEIRO DO MARTINS ;AVENIDA CARLOS GOMES DE BARROS, N. 278, Apto 103, BL 13 PAV 01 VG 117 ;106.667,03;180.000,00;40.75;Apartamento, 40.28 de área total, 40.28 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701928119
